MetaMessage('track_name', name='Piano right', time=0)
program_change channel=0 program=1 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
note_on channel=0 note=82 velocity=54 time=0
control_change channel=0 control=91 value=127 time=0
MetaMessage('text', text='bdca426d104a26ac9dcb070447587523', time=0)
note_on channel=0 note=82 velocity=0 time=240
note_on channel=0 note=81 velocity=47 time=0
note_on channel=0 note=81 velocity=0 time=240
note_on channel=0 note=82 velocity=47 time=0
note_on channel=0 note=82 velocity=0 time=240
note_on channel=0 note=79 velocity=51 time=0
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=81 velocity=46 time=0
note_on channel=0 note=81 velocity=0 time=120
note_on channel=0 note=82 velocity=47 time=0
note_on channel=0 note=82 velocity=0 time=120
note_on channel=0 note=84 velocity=49 time=0
note_on channel=0 note=84 velocity=0 time=120
note_on channel=0 note=86 velocity=50 time=0
note_on channel=0 note=86 velocity=0 time=120
note_on channel=0 note=82 velocity=53 time=0
note_on channel=0 note=82 velocity=0 time=240
note_on channel=0 note=84 velocity=54 time=0
note_on channel=0 note=84 velocity=0 time=120
note_on channel=0 note=82 velocity=47 time=0
note_on channel=0 note=82 velocity=0 time=120
note_on channel=0 note=81 velocity=51 time=0
note_on channel=0 note=81 velocity=0 time=120
note_on channel=0 note=79 velocity=47 time=0
note_on channel=0 note=79 velocity=0 time=120
note_on channel=0 note=77 velocity=56 time=0
note_on channel=0 note=77 velocity=0 time=60
note_on channel=0 note=77 velocity=51 time=180
note_on channel=0 note=77 velocity=0 time=60
note_on channel=0 note=77 velocity=50 time=180
note_on channel=0 note=77 velocity=0 time=60
note_on channel=0 note=78 velocity=61 time=180
note_on channel=0 note=78 velocity=0 time=240
note_on channel=0 note=90 velocity=57 time=0
note_on channel=0 note=90 velocity=0 time=240
note_on channel=0 note=90 velocity=57 time=0
note_on channel=0 note=90 velocity=0 time=60
note_on channel=0 note=91 velocity=65 time=180
note_on channel=0 note=91 velocity=0 time=240
note_on channel=0 note=79 velocity=51 time=0
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=79 velocity=51 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=81 velocity=53 time=180
note_on channel=0 note=81 velocity=0 time=60
note_on channel=0 note=94 velocity=46 time=150
note_on channel=0 note=94 velocity=0 time=30
note_on channel=0 note=93 velocity=52 time=0
note_on channel=0 note=93 velocity=0 time=120
note_on channel=0 note=91 velocity=51 time=0
note_on channel=0 note=91 velocity=0 time=120
note_on channel=0 note=93 velocity=52 time=0
note_on channel=0 note=93 velocity=0 time=240
note_on channel=0 note=94 velocity=54 time=0
note_on channel=0 note=94 velocity=0 time=60
note_on channel=0 note=84 velocity=45 time=150
note_on channel=0 note=84 velocity=0 time=30
note_on channel=0 note=82 velocity=51 time=0
note_on channel=0 note=82 velocity=0 time=120
note_on channel=0 note=81 velocity=47 time=0
note_on channel=0 note=81 velocity=0 time=120
note_on channel=0 note=82 velocity=51 time=0
note_on channel=0 note=82 velocity=0 time=120
note_on channel=0 note=70 velocity=34 time=120
note_on channel=0 note=74 velocity=40 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=70 velocity=0 time=0
note_on channel=0 note=77 velocity=35 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=70 velocity=34 time=0
note_on channel=0 note=74 velocity=41 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=70 velocity=0 time=0
note_on channel=0 note=77 velocity=34 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=74 velocity=41 time=0
note_on channel=0 note=70 velocity=34 time=0
note_on channel=0 note=70 velocity=0 time=120
note_on channel=0 note=74 velocity=0 time=0
note_on channel=0 note=77 velocity=35 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=70 velocity=35 time=0
note_on channel=0 note=74 velocity=42 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=70 velocity=0 time=0
note_on channel=0 note=79 velocity=35 time=0
note_on channel=0 note=79 velocity=0 time=120
note_on channel=0 note=70 velocity=34 time=0
note_on channel=0 note=74 velocity=41 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=70 velocity=0 time=0
note_on channel=0 note=79 velocity=34 time=0
note_on channel=0 note=79 velocity=0 time=120
note_on channel=0 note=70 velocity=34 time=0
note_on channel=0 note=74 velocity=41 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=70 velocity=0 time=0
note_on channel=0 note=79 velocity=34 time=0
note_on channel=0 note=79 velocity=0 time=120
note_on channel=0 note=70 velocity=37 time=0
note_on channel=0 note=74 velocity=44 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=70 velocity=0 time=0
note_on channel=0 note=77 velocity=35 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=70 velocity=34 time=0
note_on channel=0 note=74 velocity=41 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=70 velocity=0 time=0
note_on channel=0 note=77 velocity=34 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=74 velocity=41 time=0
note_on channel=0 note=70 velocity=34 time=0
note_on channel=0 note=70 velocity=0 time=120
note_on channel=0 note=74 velocity=0 time=0
note_on channel=0 note=77 velocity=34 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=75 velocity=47 time=0
note_on channel=0 note=69 velocity=39 time=0
note_on channel=0 note=69 velocity=0 time=120
note_on channel=0 note=75 velocity=0 time=0
note_on channel=0 note=77 velocity=35 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=75 velocity=41 time=0
note_on channel=0 note=69 velocity=34 time=0
note_on channel=0 note=69 velocity=0 time=120
note_on channel=0 note=75 velocity=0 time=0
note_on channel=0 note=77 velocity=37 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=75 velocity=41 time=0
note_on channel=0 note=69 velocity=34 time=0
note_on channel=0 note=69 velocity=0 time=120
note_on channel=0 note=75 velocity=0 time=0
note_on channel=0 note=77 velocity=35 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=69 velocity=38 time=0
note_on channel=0 note=75 velocity=45 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=69 velocity=0 time=0
note_on channel=0 note=81 velocity=35 time=0
note_on channel=0 note=81 velocity=0 time=120
